,Rank,Robot,Weapon,R_MK2,W_MK2
1158,58,Bulwark,,False,False
1159,58,Bulwark,,False,False
1160,59,Inquisitor,Taran,True,True
1161,59,Inquisitor,Taran,True,True
1162,59,Inquisitor,Ember,True,True
1163,59,Inquisitor,,True,False
1164,59,Mercury,Halo,True,True
1165,59,Mercury,Ember,True,True
1166,59,Mercury,Halo,True,False
1167,59,Mercury,,True,False
1168,59,Spectre,Taran,True,True
1169,59,Spectre,Taran,True,True
1170,59,Spectre,Taran,True,True
1171,59,Spectre,Taran,True,True
1172,59,Spectre,Taran,True,True
1173,59,Spectre,Taran,True,True
1174,59,Spectre,Taran,True,True
1175,59,Spectre,Taran,True,True
1176,59,Mender,Gust,True,True
1177,59,Mender,Storm,True,False
1178,59,Mender,Gust,True,True
1179,59,Mender,,True,False
1180,60,Mender,Halo,False,False
1181,60,Mender,Storm,False,False
1182,60,Mender,Halo,False,False
1183,60,Mender,,False,False
1184,60,Spectre,Tulumbas,True,True
1185,60,Spectre,Tulumbas,True,True
1186,60,Spectre,Tulumbas,True,True
1187,60,Spectre,Tulumbas,True,True
1188,60,Hellburner,Ecu,True,False
1189,60,Hellburner,Ember,True,False
1190,60,Hellburner,,True,False
1191,60,Hellburner,,True,False
1192,60,Ares,Corona,False,False
1193,60,Ares,Halo,False,False
1194,60,Ares,Halo,False,False
1195,60,Ares,Corona,False,False
1196,60,Mercury,Halo,False,True
1197,60,Mercury,Avenger,False,True
1198,60,Mercury,Halo,False,False
1199,60,Mercury,,False,False
1200,61,Strider,Halo,False,False
1201,61,Strider,Gust,False,True
1202,61,Strider,Exodus,False,False
1203,61,Strider,,False,False
1204,61,Mercury,Halo,True,False
1205,61,Mercury,Ember,True,True
1206,61,Mercury,Halo,True,False
1207,61,Mercury,,True,False
1208,61,Spectre,Tulumbas,True,True
1209,61,Spectre,Tulumbas,True,True
1210,61,Spectre,Tulumbas,True,True
1211,61,Spectre,Tulumbas,True,True
1212,61,Falcon,Exodus,True,False
1213,61,Falcon,Avenger,True,True
1214,61,Falcon,Exodus,True,False
1215,61,Falcon,,True,False
1216,61,Mender,Halo,False,False
1217,61,Mender,Storm,False,False
1218,61,Mender,Gust,False,True
1219,61,Mender,,False,False
1220,62,Hellburner,Shredder,False,False
1221,62,Hellburner,Ember,False,False
1222,62,Hellburner,,False,False
1223,62,Hellburner,,False,False
1224,62,Mercury,Halo,False,False
1225,62,Mercury,Redeemer,False,False
1226,62,Mercury,Gust,False,False
1227,62,Mercury,,False,False
1228,62,Mender,Halo,False,False
1229,62,Mender,Storm,False,False
1230,62,Mender,Gust,False,False
1231,62,Mender,,False,False
1232,62,Ares,Corona,False,False
1233,62,Ares,Halo,False,False
1234,62,Ares,Halo,False,False
1235,62,Ares,Corona,False,False
1236,62,Spectre,Tulumbas,False,False
1237,62,Spectre,Tulumbas,False,False
1238,62,Spectre,Tulumbas,False,False
1239,62,Spectre,Tulumbas,False,False
1240,63,Hellburner,Halo,True,False
1241,63,Hellburner,Ember,True,False
1242,63,Hellburner,,True,False
1243,63,Hellburner,,True,False
1244,63,Mercury,Halo,True,False
1245,63,Mercury,Ember,True,True
1246,63,Mercury,Halo,True,False
1247,63,Mercury,,True,False
1248,63,Mercury,Ecu,True,True
1249,63,Mercury,Avenger,True,True
1250,63,Mercury,Halo,True,False
1251,63,Mercury,,True,False
1252,63,Bulwark,Avenger,True,True
1253,63,Bulwark,Viper,True,False
1254,63,Bulwark,,True,False
1255,63,Bulwark,,True,False
1256,63,Falcon,Trident,True,True
1257,63,Falcon,Trident,True,True
1258,63,Falcon,Trident,True,True
1259,63,Falcon,,True,False
1260,64,Hellburner,Gust,True,True
1261,64,Hellburner,Ember,True,True
1262,64,Hellburner,,True,False
1263,64,Hellburner,,True,False
1264,64,Ares,Taran,False,True
1265,64,Ares,Halo,False,True
1266,64,Ares,Halo,False,True
1267,64,Ares,Taran,False,True
1268,64,Ares,Taran,False,True
1269,64,Ares,Halo,False,True
1270,64,Ares,Halo,False,True
1271,64,Ares,Taran,False,True
1272,64,Mender,Gust,True,True
1273,64,Mender,Storm,True,True
1274,64,Mender,Gust,True,True
1275,64,Mender,,True,False
1276,64,Bulwark,Trident,False,True
1277,64,Bulwark,Trident,False,True
1278,64,Bulwark,,False,False
1279,64,Bulwark,,False,False
1280,65,Falcon,Trident,False,False
1281,65,Falcon,Ember,False,False
1282,65,Falcon,Trident,False,False
1283,65,Falcon,,False,False
1284,65,Mercury,Halo,False,False
1285,65,Mercury,Avenger,False,False
1286,65,Mercury,Halo,False,False
1287,65,Mercury,,False,False
1288,65,Mercury,Halo,False,False
1289,65,Mercury,Avenger,False,False
1290,65,Mercury,Halo,False,False
1291,65,Mercury,,False,False
1292,65,Ares,Corona,False,False
1293,65,Ares,Halo,False,False
1294,65,Ares,Halo,False,False
1295,65,Ares,Corona,False,False
1296,65,Hellburner,Halo,False,False
1297,65,Hellburner,Ember,False,False
1298,65,Hellburner,,False,False
1299,65,Hellburner,,False,False
1300,66,Ares,Scourge,True,True
1301,66,Ares,Spark,True,True
1302,66,Ares,Spark,True,True
1303,66,Ares,Scourge,True,True
1304,66,Hellburner,Halo,True,True
1305,66,Hellburner,Redeemer,True,True
1306,66,Hellburner,,True,False
1307,66,Hellburner,,True,False
1308,66,Mercury,Shredder,False,False
1309,66,Mercury,Avenger,False,True
1310,66,Mercury,Shredder,False,False
1311,66,Mercury,,False,False
1312,66,Mender,Halo,True,True
1313,66,Mender,Corona,True,True
1314,66,Mender,Halo,True,True
1315,66,Mender,,True,False
1316,66,Spectre,Scourge,True,True
1317,66,Spectre,Scourge,True,True
1318,66,Spectre,Scourge,True,True
1319,66,Spectre,Scourge,True,True
1320,67,Hellburner,Ecu,True,True
1321,67,Hellburner,Ember,True,True
1322,67,Hellburner,,True,False
1323,67,Hellburner,,True,False
1324,67,Mender,Gust,True,True
1325,67,Mender,Storm,True,True
1326,67,Mender,Gust,True,True
1327,67,Mender,,True,False
1328,67,Ares,Taran,True,True
1329,67,Ares,Halo,True,False
1330,67,Ares,Halo,True,False
1331,67,Ares,Taran,True,True
1332,67,Ares,Corona,True,False
1333,67,Ares,Halo,True,False
1334,67,Ares,Halo,True,False
1335,67,Ares,Corona,True,False
1336,67,Mender,Gust,True,True
1337,67,Mender,Storm,True,True
